CompanyID,Description,TargetWorkCatergoryIDs
421,"P&M Construction are a professional property development company with over two decades of experience in all aspects of the construction industry. Based in Potters Bar, we take on contracts throughout North London, Hertfordshire and Essex. In addition to our own developments, we also provide high-spec bespoke projects for clients. We have extensive project management expertise and can offer an outstanding level of service from land acquisition through design input during planning stages until completion and handover; always ensuring that deadlines and budgets are met. Challenges may arise but due to our flexibility and knowledge base, P&M Construction is able to work closely with customers towards achieving successful results.",[22]
422,"Chelsea Heating and Plumbing Ltd is a well established business serving the local community in Chelsea with a client base extending into the Home Counties. We also service a number of hotels and residences in Henley, Kensington, Knightsbridge, Covent Garden and Hampstead. Our clients include the National Trust, specialist contractors, landlords and agents together with our domestic householders. The Company was formed in April 1976 and now owned and run by David Parfitt who has over 35 years experience in the Industry.  The core company business is new works and maintenance of plumbing systems as well as heating systems for both domestic or commercial properties. This includes a full range of services such as design & installation for new build or refurbished properties to minor plumbing jobs; maintenance; repairs; upgrades etc..We undertake specialist contracts up to around £400k value too! Energy efficiency upgrading is an increasingly important element of our work including Renewable technologies - so please feel free to contact us via phone 01491 576359 or visit www.chelseaheatingco/uk for more information regarding all our services!",[72]
423,"Gilliams & Co. is a family-run business with over four decades of tiling expertise. Based in Tyneside, we have established ourselves as one of the premier tiling firms in the North East and specialize in commercial, industrial and residential projects. Customers both public and trade can rest assured that our CSCS certified tilers are available to provide top quality installation services. We offer free estimates along with complimentary advice on anything from simple questions to selecting the right product for your needs.","[17, 5, 7]"
424,"Established in 2003 and based in South Yorkshire, ABC Contractors work regionally for a number of local authorities and public sector clients. We undertake refurbishment and maintenance all trades contractor works in the public residential sector, with services ranging from M&E installations to full build and fit out. Our front line staff are directly employed and cover most trade disciplines while our comprehensive management team provide support for on site services as well as ensuring compliance to statutory requirements. At ABC Contractors we strive continuously to improve quality standards, train staff members up-to-date on new initiatives so that projects can be delivered safely & effectively.","[6, 16, 17, 31, 62, 87]"
425,"We are a construction and refurbishment business that can provide you with an all-inclusive solution for any of your projects in either the commercial or residential sector. Our relationships with our clients and suppliers is paramount to us, as we believe that by working closely together, mutually beneficial partnerships can be formed regardless of the size or scope of the project. Our three Directors have over 45 years' collective experience in this industry so you can rest assured knowing your projects are being managed by highly qualified professionals. BUILD- Once all key elements have been agreed upon, we take control and handle everything else from there on out - organising subcontractor teams & works programmes while keeping communication open until completion to guarantee it's done both promptly and within budget. REFRESH- We're here to help rejuvenate existing spaces whether they be office renovations for businesses or home extensions/loft conversions; whatever it may be, let us make sure it's tailored perfectly for you!","[36, 11, 15, 16, 22]"
426,"Enterprise Solutions is an award winning Critical Infrastructure Specialist formed around three core divisions. Our technical solutions for Mechanical & Electrical, Building Services and Communication Systems are both innovative and sustainable. 	Critical Infrastructures 	Business Solutions 	Facilities Management  The company was founded in 1912 and has been the provider of choice for M&E and IT Projects for over a century. We have since adapted to meet the changing technological needs as well as service requirements of our expansive customer base.     Our offices are based in Manchester, serving customers throughout the UK, Europe, Middle East and Asia Pacific regions.  We employ more than 190 staff members including technical experts, specialist project directors, project managers engineers plus operational support teams to effectively design build deliver most resilient Critical Infrastructure Environments","[41, 59, 62, 64, 70, 75]"
427,"J. O'Donnell & Sons (Painters and Decorators) LTD. is a family-run business that has been providing high quality painting and decorating services since 1969 when it was founded by John O'Donnell. We specialise in Commercial/Office Decoration, Industrial, New Housing Developments, Local Authority Contracts, Termed Contracts, Fire Protection, Hygiene Coatings and Epoxy Floor Coatings with competitive pricing for our clients across the North West region of England as well as the West Midlands and North Wales regions. Our team consists of 40 fully qualified CITB CSCS accredited painters who are committed to delivering projects on time while adhering to strict health & safety regulations - we are CHAS Construction Line accredited members of ROSPA (Royal Society for Prevention of Accidents) as well as being part of the Painting & Decorating Association too! If you would like more information or wish to discuss your project please don't hesitate to call us on 01782 815767",[18]
428,"At Smith and Jones Plumbing and Heating LTD we provide services for all refurbishment and maintenance requirements including plumbing, heating, electrical works, joinery, plastering, bathrooms, kitchens outdoor works appliance installation and repairs.  Smith & Jones Plumbing & Heating LTD offer the following range of services: •	Full property refurbishments including plumbing electrical works joinery plastering and outdoor works  •	Plumbing services/central heating installations system upgrades •	Bathroom kitchen installations • Servicing of domestic natural gas LPG boilers• Servicing of gas fires cookers• Gas Safety checks• Repairs maintenance central heating systems   Central heating system cleansing power flushing",[84]
429,"Since 1997, EOM Ltd has been providing quality services to the local community. Our team of experienced engineers have extensive knowledge about the area and can accurately estimate job lengths and requirements. We specialize in all types of electrical work including maintenance, installation, inspection/testing for industrial, commercial or domestic purposes; we are registered with NICEIC, CHAS Constructionline & Safecontractor as well as being Gas Safe & OFTEC certified. Additionally our company is accredited by Non UKAS ISO 9001 and 14001 standards for plumbing maintenance & installations too!","[59, 61, 62, 64, 70, 71]"
430,"We strive to ensure every job we do is our very best. We know how important it is to have confidence in those who work in and around your home which is why all of our operatives are DBS checked (the Disclosure and Baring Service), and all will be carrying a photographic identification card. All our staff will attend your property wearing clean company uniforms and in a company signed vehicle. All our operatives have their driving license regularly checked with the DVLA and are fully insured, and all carry public liability insurance by law to meet with regulations.  We believe that at ABC Services attention to detail is the basis of success. Our customers always come first for us, so we aim to perform on-time as well as within budget – each time! No matter what may be involved, we remain committed towards providing an outstanding service experience for everyone - if there's something that can't get done then chances are ABC Services won't either! Our engineers here receive training up till industry standards across various trades plus use state-of-the art technology too make sure you're getting nothing but top quality services from us!","[42, 43, 44, 45]"
431,"South Coast Scaffolding is a third generation scaffolding company based on the south coast. The organisation has been an NASC member for many years now and takes pride in employing fully trained scaffolders, providing them with opportunities to progress through courses if desired. South Coast Scaffolding has built strong relationships with major contractors over time and have had the privilege of working on some iconic buildings around the south coast, including erecting cradles to some of Sussex's tallest structures. Approved by CHAS and NASC, South Coast Scaffolding boasts an impressive accident record that most would be envious of; Health & Safety standards are prioritised from top level down and IDP Safety Services Ltd are employed to ensure compliance with current legislation at all times.",[25]
432,"We provide a comprehensive range of commercial building services with over 40 years of combined experience. Our portfolio showcases the successful projects we have completed, and our professional tradesmen guarantee excellent results at competitive prices. We offer basement construction, re-enforcement concrete underpinning, brickwork refurbishment & renovations, groundworks drainage conversions architectural plans structural engineers reports brickwork steelwork and more! At ABC Building Solutions Ltd., you can trust us to get the job done right every time.","[3, 16, 22, 27, 31, 53]"
433,"Cox & Jones Construction has evolved from the well-established Cox and Jones brand that has been around since 1990.  We are the same established team but with the addition of a few new faces as the company continues its expansion. Our ethos of providing quality build projects on time and on budget which in past given our business its strong reputation remains firmly embedded in philosophy of Senior Management Team today Whether you are looking for modern one bedroom apartment or five bedroom uniquely designed property we build them all including 2, 3 or 4 bed properties, flats and apartments, we have skills, experience and team to meet your needs.",[39]
434,"Creating Abodes of Splendor We are a forward-thinking developer of luxury homes in the Worcestershire and surrounding Counties. Our expertise and experience enable us to provide our clients with their ideal home. Our success is built upon constructing exquisite replacement properties in desirable locations such as green belt and conservation areas, as well as renovating listed buildings into lavish dwellings that stand out from the crowd.  As a family owned business we remain agile so we can adapt to market conditions quickly; this has enabled us to cultivate strong relationships with architects, designers, contractors and craftsmen over an extended period of time. By combining our knowledge with project management skills, we strive for excellence when it comes to creating unique homes that pay attention to every detail no matter how small or insignificant they may seem.",[28]
435,"Farrar Contracting Ltd is an East Sussex based family-owned contracting business, established over 35 years ago. The company has grown and developed throughout the years to provide a range of services for customers in both public and private sectors. With their extensive knowledge of highways, utilities, groundworks, civil engineering and agricultural industries they are able to offer cost effective solutions through their directly employed workforce as well as owned plant equipment and long standing relationships with suppliers/subcontractors. As a company Farrar Contracting prides itself on providing highly skilled operatives that have been trained competently so quality output can be achieved each time; all staff members undergo annual training sessions to ensure best practices are followed whilst health & safety regulations remain at the forefront of every job carried out by our team. We strive hard when it comes to project planning right through until completion: we take care listening carefully to your needs ensuring customer satisfaction in every aspect of our work which allows us build many strong working relationships along the way.",[47]
436,"H&F Interiors Limited offer a comprehensive architectural joinery provision, installation & management service. Our services encompass both regular and bespoke joinery options, inventive glass solutions, interior metal works, stone and tiling as well as mastic works and french polishing. We are ISO 9001 & ISO 14001 registered; FSC chain of custody certified; PEFC chain of custody certified; Constructionline registered; Achilles building confidence members; CHAS members and BM TRADA accredited Q-Mark Fire door installers (Q-Mark Sept 2017). Our assistance is tailored to UK Main Contractors. Additionally we work directly with customers & developers alike. We serve London & the South East of England regionally so please don't hesitate to contact us onsite or online for your project needs - email info@handfinteriors.com or call 01243 773319 today!",[9]
437,"Fourfront Group t/a Area offers a comprehensive range of services encompassing office design and fit-out, commercial interior contracting (Area), workplace consultancy (360 Workplace) and furniture procurement (Sketch Studios). Our expertise in various sectors and procurement methods allow us to provide fixed price contracts for office interior design projects. Our Office Design and Build approach means that the Design, Project Management, and Site Teams work together under one roof. This provides multiple advantages for your space planning needs: Dedicated team headed by an account manager Smooth office design process Quality end product Dependability Creative innovation & information sharing Flexibility Fast completion After sales service Other certifications: Certified Carbon Neutral Company - Approved Carbon Neutral Co.",[10]
438,"At JLK Flowstopping Ltd we pride ourselves on delivering safe and effective flowstopping & drilling solutions from low pressure to high pressure mains for our clients throughout the UK. We are a family run business offering advice and solutions for the client’s needs, in the most efficient and premium manner. JLK Flowstopping Ltd is a leading gas and water flowstopping and drilling specialist company with over 60 years of combined experience with high-pressure technicians from the gas industry, providing service safely and promptly in an economical way to customers.  JLK Flowstopping is passionate about supplying comprehensive services to its customers which include Cadent Gas, Morrison Energy Services, Balfour Beatty, Network Plus among many others.",[83]
439,"Established in 1989, Total Building Services Management has become a leader in providing air conditioning and refrigeration services to commercial clients. We have adapted our offerings over the years based on customer needs, now offering an array of mission-critical service streams and solutions. Our mobile teams provide coverage across London and the South East while our building services department provides resident support during working hours or 24/7 if necessary. Additionally, we specialize in energy-use reduction as well as design & build projects for life cycle analysis and replacement. To ensure quality assurance, we are certified with 9001, 14001 and 45001 Integrated Management System standards.","[33, 73, 75, 80, 85]"
440,"J. MURRAY ELECTRICS LTD is a specialist electrical installer of all types of wiring for commercial and domestic installations, established in London in 2007.  Since then we have taken on numerous building projects such as installing the infrastructure and wiring in various apartment blocks, offices, schools, Level 4A of the Twickenham Stadium East Stand etc., working with different electrical contractors. These jobs have ranged from 8 months to 2 years long and our team has been there since day one until completion was achieved. Once design plans are finalised we take charge of installation works (labour and materials) from start to finish as part of the construction crew. We've worked alongside Electrical Contractors like Essex Services Group PLC (14 Years), Winters Electrical (5 Years) plus others over these many years due to our stringent site checks & procedures resulting in zero accidents throughout this period - leaving clients satisfied with our efforts every time!","[32, 65, 66, 88, 62, 95]"
441,"Programmed Demolition and Dismantling Ltd (PDDL) provides a comprehensive range of demolition services across the UK and Europe. We recycle at least 90% of the buildings we demolish, with an aim to reach 100%. PDDL has been one of the leading providers in efficient and environmentally sensitive demolition services for developers, authorities, and building companies throughout both regions. Our services include asbestos removal (non-licensed), façade retention, on-site crushing, groundworks safe recycling management for potentially contaminated waste remediation strip out works de-commissioning. No matter how complex or demanding your project may be; PDDL have all necessary equipment as well as skilled personnel who are dedicated to meeting any requirements you may have regarding demolition or recycling projects. With us managing your project safely yet efficiently within budget and deadline constraints is guaranteed!",[24]
442,"Established in 1993, Pro-Structural Solutions operates as a Main Contractor or Specialist Sub-contractor within the M25 and surrounding counties with contract values up to £1,500,000. Our services include Quality Management System to BS EN ISO 9001:2008 Environment Management System to BS EN ISO 14001:2004 Compliant to BS EN 1504:2005 Registered with Constructionline PAYE tradesmen with CSCS cards  Platinum Standard Compliant to CHAS standards SAFEcontractor Accredited Full Member of the Concrete Repair Association. We specialize in structural survey, testing and analysis; Preparation of Specifications and Bills of Quantities; Budgetary advice; Surface preparation; All disciplines of concrete repair Corrosion control High performance coatings Composite strengthening Remedial fixings Masonry repair Joint sealing Waterproof rendering Liquid applied membranes Chemical grouting Resin flooring etc. Additionally we are certified by CSCS - CSCS GOLD STANDARD (75%); National Quality Assurance Ltd - (Non UKAS) BS EN ISO 14001; National Quality Assurance Ltd - (Non UKAS) BSENISO9001.",[48]
443,"We are a general sheet metal fabrication firm, providing custom galvanised and plastic ductwork systems. We also conduct site surveys and modify existing ventilation designs before construction begins. Additionally, we design, supply, install and maintain Mechanical Building Services for both direct clients or main contractors in the Construction Industry. Our services range from small-scale domestic projects such as boilers and hot water cylinders to larger scale ones that serve multiple buildings or premises. We offer either installation only services or full design, supply and installation packages.","[73, 76, 77, 81, 83]"
444,"Smith Landscapes was established in 1992 as a landscape maintenance business. The three partners, James Smith, Roy Smith (site managers) and Anita Smith (office manager), have long-standing relationships with managing agents such as The Parks Trust, Dexter Brown Ltd., MJ Mapp Ltd., Hornbeam CPAM Ltd. and many more. We take pride in creating the quality assurance standards that we are well known for achieving. Our maintenance services include fortnightly service visits from March to October; monthly service visits from November to February; mowing grass and trimming edges; applying weed killer or hand weeding shrub beds; controlling weeds around car parks and buildings; collecting autumn leaves, litter and debris; clipping/pruning of shrubs for neatness purposes etc.; generally overseeing the whole site to keep it clean looking - this is what most clients request but individual needs can be catered for too.",[52]
445,"Fitzgerald Solutions is a premium commercial and industrial building services maintenance and installation company. Operating throughout the world, we are equipped with specialist divisions for gas and oil boiler servicing, general gas works, air conditioning/refrigeration and electrical installation and testing.   Since its establishment in 1980, Fitzgerald Solutions has been providing expert services true to its proficient reputation and has now expanded to operate all over the world, having completed contracts in China, Nigeria, Georgia, Armenia Japan Latvia Sierra Leone Cameroon Senegal Azerbaijan Venezuela  many other countries. Our aim is to alleviate the strains generated by building service concerns so that our clients can operate their companies or organisations without additional complication. Through our swift efficient service everyday problems are solved leaving our clients at ease Other certifications: NATIONAL BRITANNIA - SAFE CONTRACTOR HEALTH & SAFETY ACCREDITATION","[72, 74, 76, 80, 85]"
446,"Smiths Decorators have been providing high quality services for over 30 years to public sector organisations, industrial clients and domestic customers alike. Our goal is to always meet our client's needs with the utmost care and professionalism while regularly maintaining offices, schools, community centres as well as residential homes in a manner that causes minimal disruption to their residents. All of our staff are CSCS card holders plus certified in Basic Skills Training (CSCS), IPAF, PASMA and Asbestos Awareness.",[11]
447,"North Country Electrical Services Ltd are Commercial and Industrial Electricians Serving Leeds, Bradford, Halifax, Harrogate and all other surrounding areas. We have been providing excellent service since June 1984 and continue to build a strong reputation in the North of England. Our services include: -     Commercial and Industrial Electrical Installations.    General Lighting as well as LED lighting solutions.    Fire Alarm systems for safety measures.    Emergency Lighting installations for peace of mind during power outages or emergency situations .   Computer Outlet, Voice & Data Cabling installation & maintenance  Access Control Systems that provide extra security protection from unwanted visitors or intruders .   Professional electrical condition surveys with detailed reports on findings .   Comprehensive testing & inspection services including Portable Appliance Testing (PAT) tests  Full design service using advanced computer aided designs/drawings tailored to customer needs 24 Hour 7 Day per week emergency call-out service available for customers who sign up for our contracts Full Maintenance packages Mains Monitoring The Company's mission is to consistently deliver high quality workmanship across all aspects of electrical engineering projects we undertake","[60, 61, 63, 64, 70, 91]"
448,"Ace Construction & Renovation Ltd is a well-established company which has built up an excellent reputation by successfully delivering top-notch projects. The firm's core values are quality, efficiency and dependability. We're proud to say that we've kept a strong commitment to good workmanship and getting the job done right. No matter what size of project it may be, our entire team recognizes their responsibility for excellence, safety and environmental awareness. Ace Construction & Renovation Ltd believes that people are our most important resource, so we always strive to create the best possible working environment while encouraging ongoing training and development with an emphasis on health and safety regulations. Ace Construction & Renovation Ltd provides a wide range of services related to construction as well as renovation works",[31]
449,"Newcastle Floor Screeding are a single-source floor screed contractor, dedicated to providing technical expertise, high quality installations and reliable performance and delivery. The Newcastle Floor Screeding Limited business has been passed down through three generations of the Dewsbury family since its inception 25 years ago. We specialise in all types of floor screed applications including fast drying screed, flowing and traditional specifications. Our company is committed to delivering superior services that have earned us praise from clients with varying needs across the construction industry - ranging from major contractors to medium sized building companies, underfloor heating specialists and independent builders alike.  We believe our partnership with these firms can create long-lasting relationships for both parties involved at competitive prices due to our extensive sector experience gained over many years in this field . References from existing customers are available upon request as we are also licensed installers for Flowcrete & Isocrete products such as Isocrete K Screed & Flowcrete Permaflor respectively",[4]
450,"RE Electrical Solutions Ltd are a well established NICEIC approved Electrical Company based in Coleshill. Covering the whole of England and Wales, we offer a wide variety of services including:- ● Design Services ● Consultancy ● Installation ● Testing & Inspection We provide all types of Electrical systems in the Industrial, Commercial and Domestic Sectors for many Blue Chip CLIENTS such as DHL, TKMaxx and the NHS to name but a few. Our Engineers have many years experience in the electrical industry and pride themselves on providing quality installations. Customer satisfaction is paramount to us and we ensure an excellent service carried out by polite and tidy personnel. For further information , feel free to browse our website www.reelectricalsolutions.services or call on us on:  01675 430412","[32, 63, 67, 70, 89, 95]"
451,"The G R Carter Cambridge Limited is part of the G R Carter Group. We are one of fifteen construction companies in the group and have expertise to carry out every stage of a project, from early feasibility study to handover and aftercare. Our divisions specialise in planned maintenance, reactive maintenance, heritage conservation works as well. Moreover, we have an independent design team that can use traditional methods or BIM process for projects. Additionally our supply chain partners provide us with certifications like QMS International Plc - (Non UKAS) BS EN ISO 9001:2015; OHSAS 18001:2007 along with our own health & safety department plus quality control & Clerk Of Works departments too.","[34, 35, 92, 86, 28]"
452,"We are a small but efficient business created in 1993, with an extensive background in farming and forestry. We have used our expertise to provide quality services that meet the needs of those within the agriculture and forestry industries. Our main operations include: The construction, Regrading & upgrade maintenance of granular forest roads and trails; Construction of new lorry access roads, timber stacking areas and lorry turn around points; Construction of new drainage systems within plantations as well as repairs to existing drainage systems off forest roads/trails; Access ramps for harvesters/forwarders constructed or maintained/upgraded; Visitors car parking bays built or upgraded; Butterfly scrapes established; Quarrying stone & excavation carried out ; Cleaning Pools & Brash raking completed.  All these activities are undertaken by 'Nature's Way Services'.",[47]
453,"Established in 1990, The Smith Scaffold Co Ltd provides a comprehensive scaffolding service that includes sales, hire and erection for the building and construction industries. We are proud to be an industry leader when it comes to designing and erecting temporary accesses as well as support scaffolds for civil engineering, maintenance and process projects of any size. Our commitment to training our personnel is what helps us maintain our position within the field while expanding at the same time. Being members of NASC with CHAS accreditation plus Safe Contractor status allows us stay on top of all CDM Regulations by keeping up-to-date with modern methods and information available. Furthermore, we have been licensed by HSE for asbestos ancillary operations too.","[25, 31]"
454,"Greenfield Landscaping & Maintenance is a small landscaping and grounds maintenance company based in Huddersfield, West Yorkshire. With our close proximity to the motorway network we work throughout Yorkshire, Greater Manchester and Lancashire. We provide services for building and construction sites as well as offices, industrial sites, schools and health centres. Our landscape works include planting trees and shrubs, turfing grass seeding along with provision of wildflower areas plus installation of artificial turf surfaces. Weed control involves regular treatments to manage weeds on planted areas paths or hard standings while treatment programmes are carried out to eradicate Japanese Knotweed Giant Hogweed or Himalayan Balsam from development sites awaiting planning approval. Greenfield also offers vegetation clearance prior to development works commencing followed by ongoing grounds maintenance duties such as mowing grassed areas keeping all planted beds tidy plus litter picking across single/multiple site contracts during summer months whereas winter brings gritting/snow clearance operations when required on forecast led basis","[51, 52]"
455,"A2B Flooring Solutions Ltd is a family-run business based in the North West with over three decades of experience in the flooring and construction industry. We have worked on numerous major contracts across Britain and Ireland, specialising in screeding, resin applications, slab & preparation for floors, decorative flooring as well as underfloor heating. Our company has been registered to CHAS SSIP schemes while our external H&S Executive A2B Health and Safety ensures that we maintain excellent standards throughout our trade. As members of The Guild of Master Craftsmen, we are committed to upholding top quality workmanship at all times.",[5]
456,"Fencing Solutions UK Ltd  we offer a comprehensive service for all types of fencing needs. We deliver large-scale projects and maintenance work, as well as construction and civil engineering services to both public and private clients. Our team has over 45 years of combined experience in the industry, allowing us to provide our customers with exceptional quality results every time. We are dedicated to developing our employees' skills by providing them with new qualifications that will help enhance their performance when delivering customer solutions. Our range includes hoarding, temporary fencing, railings, environmental noise barriers electric fencing systems; high security fences such as palisade fence panels or V-Mesh 358 mesh; close board fencing; guardrail key clamp sound barrier general fencing VRS Barrier W2 W3 W4 &W5 boundary steel plus timber options too! At Fencing Solutions UK Ltd we strive for zero harm on each site - all staff have Blue Fiss CSCS cards along with NVQs in Fencing SSSTs SMSTs CPCS Plant Cards",[50]
457,"Mcmath & Smith Ltd is a small but expanding local business that specializes in joinery and preservation works. Our services range from new builds to damp-proof courses for domestic customers, and we have seen steady growth over the years with plans to continue along this trajectory by employing more skilled local workers. Both directors are experienced joiners as well as qualified preservation experts, while our team currently consists of an apprentice in their fourth year and a labourer. We're now taking on larger projects and looking into gaining positive accreditations so that we can keep growing steadily going forward.","[18, 13]"
458,"We are A.W.E Cheshire Limited, an electrical engineering and contracting company based on the Winsford Industrial Estate providing services mainly across the Northwest of England and other areas in the UK as required. We have experienced a period of strong growth over recent years due to our commitment to serve our clients' interests with conscientious, hardworking and reliable staff members. At AWE we understand that your vision and aspirations for any project are paramount; therefore we strive to ensure these goals are achieved from initial contact through to final commissioning stages. You will find us approachable and easy to work with at all times. As NICEIC approved contractors, we offer a wide range of electrical services throughout Cheshire area..","[64, 65, 66, 88, 62]"
459,"Mason & Sons is a family-run business that prides itself on its values and service delivery. We are one of the few M&E Maintenance companies in the south east to be run by a family, and we partner with our clients to ensure excellent KPI scores for both Service & Compliance through our own services as well as those provided by subcontractors. Our team provides a more personal experience due to strong middle management communication with the owners, while also investing in people's development plans. Mason & Sons has been recognised within their industry for awards and have seen double digit growth year after year. The company holds ISO:9001, 14001 & 45001 certifications and is currently working towards achieving ISO 44001 certification which focuses on collaborative work between clientele. In addition, they monitor their operations closely in order to reduce their carbon footprint whilst ensuring all products used meet stringent standards of quality control",[64]
460,"Secure Solutions Ltd was established in 2012 and comprises Secure Waterproofing Ltd, Secure Rail Ltd and Secure Scaffolding Ltd. The Group is based in Pudsey, West Yorkshire with a nationwide coverage of specialist roofing and scaffolding services to all industry sectors including the rail industry. The service provision includes: Rapid Response and Maintenance Dilapidation Building Works All types of Roofing Systems Green Roof Systems Cladding Scaffolding Fascias, Soffits and Rainwater Goods Lead Work Mansafe Systems Specialist Roof Surveys","[2, 19, 20, 21, 25]"
461,"We are NAPIT and TrustMark registered electrical contractors, serving clients in Liverpool and the surrounding areas for over 3 years. Our work is highly recommended by our current customers, with most of it coming through word-of-mouth referrals. We guarantee all installation works come with a 12 month warranty as well as certification where applicable. Whether you're a management company, estate agent, social housing contractor or private customer - get in touch today to request a brochure or ask any questions you may have!",[62]
462,"Tremac Electrical Services Limited was founded in 1975 and has since gained a solid reputation for its responsive service and customer commitment. The company is able to work across the UK, providing customers with an extensive range of electrical services. With more than 45 years' experience, Tremac can provide full design, build, installation and maintenance services for industrial or commercial applications. Tremac's team of highly skilled engineers are fully qualified to British Standards and Engineering Codes of Practice; they also stay up-to-date on changing technology as well as legislation changes. These site engineers have support from a dedicated group of personnel who serve as direct links between clients and the engineer onsite. Furthermore, we are committed to recruiting new trainees regularly through our indentured apprenticeship scheme too. To ensure that our client base always feels secure when using us, Tremac provides 24/7 call out assistance too! We use computerised estimating systems which enable us to quickly process quotations & enquiries efficiently","[61, 63, 67, 71, 89, 91]"
463,"Refurbish & Design Solutions is a fit-out / refurbishment contractor and furniture dealer with an emphasis on turnkey delivery and creative design. We were created to provide the perfect solution for your office, residential or retail space. Our approach is straightforward – offer professional advice through open collaboration, great designs backed up by flawless construction execution. Every business has its own journey; we want to accompany you every step of the way, adapting as needed while growing together with each client we meet. We are a passionate team who bring extensive knowledge in architecture, consultation and construction services into play on every project that comes our way - all managed from top management level offering bespoke service to each customer. Our design, fit-out, refurbishment and furniture services can be accessed across London and Southern UK by commercial businesses as well as private residences alike!","[32, 33, 36, 41, 28, 63]"
464,"Brighton Facilities Ltd is an electrical and building maintenance contractor based in Mitcham, Surrey run by Mark Dudman providing services for both domestic and commercial clients throughout London and the South East. Our services - not just electricians We are able to provide a wide range of services including electrics, PAT testing, fire alarms, emergency lighting, intruder alarms, CCTV systems installation & servicing as well as access control solutions. 12 months guarantee on labour comes as standard Our team’s diverse skillset combined with our commitment to customer service have enabled us to thrive even through challenging economic times. We strive to exceed customer expectations while working closely with them so that we can deliver bespoke quality service at competitive prices.","[64, 61, 70]"
465,"J Smith Electrical Contractors offer a range of electrical services for residential, industrial and commercial customers in the East Midlands. Established since 1970, they have established an excellent reputation within the region due to their dependability and superior workmanship provided by highly experienced electricians. J Smith are members of NICEIC (National Inspection Council for Electrical Installation Contractors) and all works undertaken meet IEE 18th Edition standards.","[62, 63, 64, 67, 70, 91]"
466,"South East Landscapes is a committed team of landscaping and grounds maintenance professionals located in South East England. We provide comprehensive services for amenity landscaping, winter gritting and snow clearance, landscape design and construction projects such as paths, paving walls, tree work (including 24-hour emergency call out), fencing installation from standard close board to security fences & gates.","[50, 51, 52]"
467,"TK Construction Services is a family-run specialist subcontractor based in Northern Ireland, established over three decades ago. We employ up to ten full-time staff and have been growing steadily ever since. We've invested heavily in our team, giving us the confidence that we can provide top quality services for all of your needs. Our specialties include high end kerbing, paving, slabbing and complex cobble setts as well as groundworks such as drainage installation and service installations from highly skilled plant operators. You can check out evidence of our work on our website www.tkconstructionservices.co.uk , Facebook Business Page or Linked In page! All projects are planned according to construction drawings with prices discussed between David Wilson (our Quantity Surveyor) and recorded via email chain prior to any works beginning; health & safety planning is handled by an external Health & Safety Consultant too..","[57, 54]"
468,"Incorporated in 2019, JSS Civils Ltd have quickly established a good client base around the North West, North Wales and the West Midlands. We aim to foster strong working relationships and have earned repeat business with our clients which is indicative of the ethos and culture of the company in this ever-evolving challenging market.      JSS Civils carry out Civil Engineering projects throughout the North West, North wales and West Mids executing roads and sewers, earthworks, 278 works as well as housing plot foundations, slabs plus drainage including work for main contractors or sub-contractors.  We possess all necessary resources needed for delivering projects on time while staying within budget constraints. Our own plant combined with an effective corporate structure guarantee excellent levels of service.",[47]
469,"QMS International Plc is a young company that carries out Response / Planned maintenance work and upgrades/ rewires void and tenanted properties in Wolverhampton, Sandwell, Birmingham & for large housing associations / councils. Our team also has experience in the new build sector from houses to larger construction projects. We recently completed the Electrical Rewire of an Old & Vulnerable peoples home with 24Hr emergency cover included. As members of the NICEIC Approved contactors list we have Constructionline, CHAS, ISO 9001 & ISO 14001 registration as well as QMS International Plc - (Non UKAS) BS EN ISO 14001:2004 certification. All our employees are directly employed and we are looking to expand our workforce and build on our reputation within the industry.","[32, 62, 64, 71, 89, 91]"
470,"Brand Energy & Infrastructure Services UK, Ltd is the parent company of Lyndon SGB and Hunnebeck Taylor's Hoists. As a leading provider of temporary access in all regions of the United Kingdom, dating back to 1919 when it was formed by the joining of Lyndon Scaffolding & SGB, BrandSafway has locations throughout Aberdeen, Barry, Birmingham, Bristol Broxburn Edinburgh Glasgow Ipswich Leeds London Manchester and Duxford (Taylor’s Hoists). With an emphasis on quality and safety for specialised contractors within this industry sector; BrandSafway strives to be not only one of Britain's finest scaffolding companies but also set a benchmark as such. Bigger… Better!",[25]
471,"We specialise in the installation, service and maintenance of gas appliances. We also carry out plumbing, electrical and Green Technologies. We are experienced in the installation of gas boilers to domestic properties as have been successfully carrying out this type of contract for many years for many different social housing customers. We have successfully looked after gas service and maintenance contracts from 100 properties, up to contracts of 12,000 properties.    Other certifications: Quality Management Solutions Ltd - (Non UKAS) BS EN ISO 14001; Quality Management Solutions Ltd - (Non UKAS) BS EN ISO 9001; Quality Management Solutions Ltd - BS EN ISO 9001:2008","[78, 79]"
472,"At Smith & Co. Property Solutions, we provide a comprehensive range of services that cover all aspects of property maintenance and refurbishment. Our experienced team ensures each project is managed with the utmost care and attention to detail, from small repairs right through to complete renovation works. We offer an array of solutions including: full refurbishments; restoration projects; building modifications/extensions; dilapidation works; electrical installations/repairs; plumbing/drainage work; decorating services ; flooring installation ; carpentry & joinery jobs ; partition systems , dry-lining and plastering tasks as well as roof repair or replacement .","[11, 15]"
